"Variable","Mean","Variance","StdDev"
"T",27.37,1.53,1.24
"P",94.54,3473.21,58.93
"L",3027.64,9068385.44,3011.38
"LA",2552015.86,14932909026900.8,3864312.23
"K",5.64,69.28,8.32
"F",29010.51,3776433791.91,61452.7
"Y2",1054.38,211357.14,459.74
