"","T","P","L","LA","K","F","Y2"
"T",1,-0.49,0.24,0.38,-0.16,0.32,0.23
"P",-0.49,1,-0.1,-0.18,0.14,-0.07,-0.09
"L",0.24,-0.1,1,0.86,0.08,0.73,0.29
"LA",0.38,-0.18,0.86,1,-0.1,0.68,0.16
"K",-0.16,0.14,0.08,-0.1,1,0.12,0.36
"F",0.32,-0.07,0.73,0.68,0.12,1,0.28
"Y2",0.23,-0.09,0.29,0.16,0.36,0.28,1
